Created,Name:: Name & Surname,Company Name:,Company Registration Number:,Industry,Province,Location of Head Office (address),Funding Ask (Amount):,City/Town,Type of Funding,Funding Requirements (what is the funding required for).,Annual Revenue Range 2023,Annual Revenue Range 2024,Actual Revenue 2025,Company Overview ,Existing number of employees ,Increase of jobs anticipated through the capital access,Number of Shareholders,What percentage of your business is owned by individuals aged 18 to 35? (Please select one),What percentage of your business is owned by women? (Please select one),What percentage of your business is under Black ownership? ,BEE Level,Area,What percentage of your business is owned by individuals living with a disability? (Please select one),Contact person Name and Surname,Email address:,Contact number:
2025-07-20 01:32:12,Tumelo Dlamini,Fynbos Civils (Pty) Ltd ,2014/662700/07,Engineering & Construction,Western Cape,"673 Tambo Crescent, Pietermaritzburg ",10000__________,Pietermaritzburg,Working Capital,Purchase of a delivery vehicle and cold storage unit,0 to R500K,0 to R500K,6577___________,A tourism operator offering guided township and heritage tours,2.0,75.0,10,100%,50–74%,100%,Level 1,Urban,0%,Tumelo Dlamini,tumelodlamini@icloud.com,+27883196983
2025-09-08 03:06:25,Kgomotso Fortuin,Fortuin Enterprises (Pty) Ltd ,201275035807,Agriculture - Primary ,Western Cape,"949 Church Lane, NELSPRUIT",620000_________,NELSPRUIT,Debt;Working Capital,"Use of Funds
1.	Equipment purchase
2.	Staff expansion
3.	Marketing
",R1 000 001 to R5M,R1 000 001 to R5M,0______________,Independent pharmacy and primary healthcare clinic serving a rural community,2.0,7.0,3,0%,50–74%,100%,Level 1,Urban,0%,Kgomotso Fortuin,kgomotsofortuin677@icloud.com,+27751515277
2025-08-02 01:47:44,Lungile Sithole,Redline Civils (Pty) Ltd,2025/430759/07,Information & Communication Technology,Western Cape,"2437 Long Lane, Mthatha",3270000________,Mthatha,Debt & Equity;Working Capital,To buy additional equipment and expand production capacity,R5 000 001 to R10M,R10 000 001 to R20M,10903795_______,We manufacture and supply steel components to construction contractors.,20.0,,3,100%,100%,100%,Level 1,Township,0%,lungile sithole,lungilesithole544@webmail.co.za,+27711706836
2025-06-25 23:18:06,Annelie Zulu,Vantage Media Group,2023/780072/07,Manufacturing,Free State,"240 Rissik Avenue, Stellenbosch ",14900000_______,Stellenbosch,Debt & Equity,Operational funding ,R1 000 001 to R5M,R5 000 001 to R10M,5958482________,We supply and install security systems and CCTV. ,41.0,4.0,6,0%,0%,100%,Level 1,Rural,0%,Annelie Zulu,anneliezulu@mweb.co.za,+27 84 601 3758
2025-09-12 11:25:16,Ravi Mahlangu,Sunrise Agri (Pty) Ltd ,201196713307,Tourism,Gauteng,"3065 Sisulu Road, Ladysmith",10000__________,Ladysmith,Purchase Order Funding,To buy additional equipment and expand production capacity,0 to R500K,0 to R500K,10884__________,A tourism operator offering guided township and heritage tours,1.0,18.0,6,50–74%,100%,100%,Level 1,Township,0%,ravi mahlangu,ravimahlangu@gmail.com,+27816635559
2025-09-21 04:44:40,Andile Singh ,Riverstone Media (Pty) Ltd,2024/370865/07,Information & Communication Technology,Limpopo,"2172 Sisulu Road, Newcastle",1930000________,Newcastle,Debt,Expansion into a second branch and hiring of staff ,0 to R500K,0 to R500K,126281_________,,2.0,2.0,4,0%,100%,100%,Level 1,Urban,0%,Andile Singh,andilesingh133@icloud.com,0773989865
2025-09-18 15:42:05,Yolandi Jacobs,Catalyst Logistics Group ,2025/284096/07,,Western Cape,"279 Church Way, PORT ELIZABETH ",30000__________,PORT ELIZABETH,Debt;Working Capital,Expansion into a second branch and hiring of staff ,0 to R500K,0 to R500K,6556___________,We design and sew corporate uniforms and protective clothing.,2.0,1.0,2,0%,0%,100%,Level 1,Rural,0%,Yolandi Jacobs,yolandijacobs@mweb.co.za,0649867535
2025-09-17 23:18:04,Jaco Radebe,Zenzele Consulting (Pty) Ltd,2017/403480/07,Manufacturing,Gauteng,"1807 Main Lane, Tembisa",1310000________,Tembisa,Debt & Equity;Working Capital,To buy additional equipment and expand production capacity,0 to R500K,R501K to R1M,525008_________,A tourism operator offering guided township and heritage tours,8.0,11.0,1,0%,50–74%,100%,Level 1,Urban,0%,Jaco Radebe,jacoradebe@gmail.com,+27 76 466 8925
2025-08-11 00:20:39,Dineo Joubert,Joubert Logistics Group,2020/879542/07,Waste Management,Limpopo,"86 Main Street, Kimberley",21280000_______,Kimberley,Debt;Working Capital,To increase production and take on larger supply contracts ,0 to R500K,R501K to R1M,491750_________,We supply and install security systems and CCTV. ,16.0,1.0,1,100%,100%,100%,Level 1,Urban,0%,Dineo Joubert,dineojoubert@icloud.com,+27893555336
2025-09-13 01:19:00,Jaco Motaung ,Oakridge Consulting Group,2020/557727/07,Information & Communication Technology,Gauteng,"1301 Protea Avenue, Johannesburg",40000__________,Johannesburg,Working Capital,Working capital to fulfil confirmed purchase orders,0 to R500K,0 to R500K,14156__________,We recycle plastic waste and sell processed pellets to manufacturers.,6.0,1.0,5,1–24%,50–74%,100%,Level 1,Urban,0%,Jaco Motaung,jacomotaung@webmail.co.za,0654775951
2025-07-20 05:48:29,Ntando Ngcobo ,Thuso Holdings,2016/563350/07,Waste Management,Gauteng,"1993 Jan Smuts Avenue, MTHATHA",170000_________,MTHATHA,Other (Please specify),Purchase of a delivery vehicle and cold storage unit,0 to R500K,0 to R500K,83489__________,We supply and install security systems and CCTV. ,3.0,,2,0%,50–74%,100%,Level 8,Rural,0%,Ntando Ngcobo,ntandongcobo@mweb.co.za,0768572702
2025-08-19 14:45:55,Zanele Maharaj,Oakridge Trading CC,2012/519235/07,Healthcare & Biotechnology,Western Cape,"1861 Protea Drive, Newcastle ",6430000________,Newcastle,Purchase Order Funding;Working Capital,Operational funding ,0 to R500K,0 to R500K,0______________,,12.0,,10,0%,0%,100%,Level 1,Rural,0%,zanele maharaj,zanelemaharaj@gmail.com,081 926 3329
2025-08-03 22:58:56,Nokuthula Joubert ,Vantage Technologies (Pty) Ltd,2010/495621/07,Retail & Wholesale,Gauteng,"243 Loop Street, Worcester",490000_________,Worcester,Debt,Purchase of a delivery vehicle and cold storage unit,0 to R500K,0 to R500K,0______________,We manufacture and supply steel components to construction contractors.,5.0,1.0,2,0%,0%,100%,Level 1,Township,0%,Nokuthula Joubert,nokuthulajoubert@gmail.com,+27689268042
2025-09-03 01:06:27,Shireen Ndlovu,Ndlovu Investments CC ,2022/983582/07,Energy,Western Cape,"1953 Mandela Lane, Emalahleni",3000_0_________,Emalahleni,Equity,Working capital to fulfil confirmed purchase orders,0 to R500K,0 to R500K,1303___________,,4.0,3.0,1,50–74%,100%,100%,Level 1,Rural,0%,Shireen Ndlovu,shireenndlovu@yahoo.com,0692350656
2025-09-03 03:25:55,Amahle Singh ,Sondela Holdings,2017/234286/07,Retail & Wholesale,Western Cape,"2715 Main Road, Tzaneen",950000_________,Tzaneen,Debt & Equity;Working Capital,To grow the business ,0 to R500K,0 to R500K,190071_________,A tourism operator offering guided township and heritage tours,1.0,4.0,4,100%,100%,100%,Level 1,Urban,0%,Amahle Singh,amahlesingh9@yahoo.com,+27 61 953 4972
2025-09-22 21:05:26,Imran Wyk,Fynbos Projects,2025/574553/07,Financial Services,Western Cape,"2946 Umgeni Crescent, Mthatha",60000__________,Mthatha,Working Capital,To grow the business ,0 to R500K,0 to R500K,24025__________,We recycle plastic waste and sell processed pellets to manufacturers.,3.0,2.0,10,0%,100%,100%,Level 1,Rural,0%,Imran Wyk,imranwyk@gmail.com,+27 81 847 3572
2025-07-19 00:25:13,Adele Ngcobo ,Ngcobo Trading,2012/503601/07,,Gauteng,"1813 Mandela Drive, Kimberley",220000_________,Kimberley,Working Capital,"Funding is required for equipment, training and certification.",0 to R500K,0 to R500K,187386_________,We recycle plastic waste and sell processed pellets to manufacturers.,0.0,2.0,10,1–24%,0%,100%,Level 1,Urban,0%,Adele Ngcobo,adelengcobo518@gmail.com,+27897495516
2025-07-01 16:41:13,Jaco Zulu,Zulu Enterprises,2009/832433/07,Retail & Wholesale,Mpumalanga,"361 Sisulu Drive, Rustenburg",52510000_______,Rustenburg,Debt & Equity,To buy additional equipment and expand production capacity,R1 000 001 to R5M,R1 000 001 to R5M,2254586________,Commercial cleaning and hygiene services for offices and factories ,8.0,2.0,4,1–24%,100%,100%,Level 1,Urban,0%,Jaco Zulu,jacozulu@yahoo.com,+27666016671
2025-09-04 00:28:41,Lerato Maluleke,Blue Crane Construction,,Financial Services,Gauteng,"2012 Marula Street, Khayelitsha",87460000_______,Khayelitsha,Purchase Order Funding;Working Capital,To increase production and take on larger supply contracts ,0 to R500K,R1 000 001 to R5M,3006086________,Civil engineering contractor focused on roads and stormwater projects ,4.0,8.0,4,45 to 55,0%,50–74%,Level 1,Urban,0%,lerato maluleke,leratomaluleke@mweb.co.za,+27763067368
2025-07-28 10:40:47,Deepak Mabaso,Bright Path Civils,,Financial Services,Limpopo,"978 Jan Smuts Drive, Durban",14630000_______,Durban,Debt,Operational funding ,0 to R500K,0 to R500K,462819_________,We grow and pack vegetables for regional wholesalers and retailers.,2.0,,2,100%,100%,100%,Level 1,Township,0%,deepak mabaso,deepakmabaso@yahoo.com,+27681028860
2025-08-22 08:44:30,Naledi Baloyi,Lesedi Construction Group ,2013/213053/07 ,Business Services (Agency & Consultancy),Gauteng,"1330 Jan Smuts Road, Mahikeng ",250000_________,Mahikeng,Debt & Equity,"Funding is required for equipment, training and certification.",0 to R500K,0 to R500K,330____________,Commercial cleaning and hygiene services for offices and factories ,7.0,5.0,1,25–49%,100%,100%,Level 1,Township,0%,Naledi Baloyi,naledibaloyi879@gmail.com,079 257 7300
2025-07-13 03:12:47,Tumelo Fourie ,Blackwood Engineering (Pty) Ltd,2018/636230/07,Financial Services,Western Cape,"1596 Rivonia Road, Nelspruit",1220000________,Nelspruit,Purchase Order Funding,Bridging finance while awaiting payment from government contracts,0 to R500K,0 to R500K,405376_________,We supply and install security systems and CCTV. ,3.0,2.0,1,0%,0%,100%,Level 1,Township,75–99%,Tumelo Fourie,tumelofourie917@gmail.com,+27611084797
2025-08-27 12:48:02,Ruan Pretorius,Pretorius Engineering,2010/120277/07,Entertainment and Media,Gauteng,"2862 Rissik Street, Mokopane",1360000________,Mokopane,Debt & Equity,Bridging finance while awaiting payment from government contracts,0 to R500K,0 to R500K,39370__________,A tourism operator offering guided township and heritage tours,2.0,0.0,1,100%,0%,100%,Level 1,Township,0%,Ruan Pretorius,ruanpretorius@yahoo.com,+27 72 286 5838
2025-06-29 01:11:02,Deepak Moodley,Moodley Engineering CC,2020/774008/07,Financial Services,Gauteng,"2816 Marula Crescent, Mthatha",2_50000________,Mthatha,Equity;Working Capital,"Funding is required for equipment, training and certification.",0 to R500K,0 to R500K,370____________,We run a driving school and provide learner licence training.,2.0,3.0,one,0%,0%,100%,Level 1,Urban,0%,Deepak Moodley,deepakmoodley@outlook.com,087 679 9926
2025-09-05 10:07:22,Nandi Naidoo,Naidoo Construction ,2010/535665/07,Agriculture - Primary ,Gauteng,"1682 Rivonia Street, Paarl ",80000__________,Paarl,Other (Please specify),"Marketing, customer acquisition and website development ",0 to R500K,0 to R500K,52211__________,Logistics company transporting goods between major metros. ,2.0,4.0,3,0%,100%,100%,Level 1,Urban,0%,Nandi Naidoo,nandinaidoo221@outlook.com,+27 69 077 2739
2025-08-04 21:19:35,Andile Mnisi ,Mnisi Foods CC ,2018/247706/07,Hospitality,Western Cape,"672 Buitenkant Way, Richards Bay",20000__________,Richards Bay,Debt & Equity,Bridging finance while awaiting payment from government contracts,0 to R500K,0 to R500K,43153__________,A family-run bakery supplying schools and local retailers. ,3.0,2.0,1,50–74%,100%,100%,Level 1,Township,0%,Andile Mnisi,andilemnisi822@yahoo.com,+27814494538
2025-07-05 20:26:57,Jaco Hendricks,Amandla Consulting (Pty) Ltd,2018/946920/07 ,Hospitality,Mpumalanga,"106 Loop Street, Gqeberha",3600000________,Gqeberha ,Working Capital,To increase production and take on larger supply contracts ,0 to R500K,R501K to R1M,600230_________,We supply and install security systems and CCTV. ,,5.0,3,0%,0%,100%,Level 1,Urban,0%,Jaco Hendricks,jacohendricks36@outlook.com,+27 84 199 4868
2025-09-05 09:48:51,Marius Fourie ,Fourie Investments (Pty) Ltd,2014/875534/07,Engineering & Construction,Western Cape,"2220 Voortrekker Road, Gqeberha",77210000_______,Gqeberha,Debt & Equity,"Marketing, customer acquisition and website development ",Above R50M,Above R50M,0______________,A tourism operator offering guided township and heritage tours,15.0,13.0,1,0%,100%,0%,Level 1,Urban,0%,marius fourie,mariusfourie@mweb.co.za,+27881614709
2025-08-11 09:25:06,Themba Ngcobo,Ngcobo Engineering Group ,,Information & Communication Technology,Gauteng,"960 Jan Smuts Avenue, George",19220000_______,George,Debt,To grow the business ,0 to R500K,R1 000 001 to R5M,0______________,Solar installation business serving residential and small commercial clients ,,4.0,6,0%,0%,100%,Level 3,Urban,0%,Themba Ngcobo,thembangcobo@outlook.com,+27 72 727 4449
2025-09-11 02:05:01,Zainab Cele,Cele Projects (Pty) Ltd,2009/323369/07,Energy,Gauteng,"887 Kruger Lane, Thohoyandou",3300000________,Thohoyandou,Debt & Equity,Bridging finance while awaiting payment from government contracts,R1 000 001 to R5M,R5 000 001 to R10M,4121457________,We run a driving school and provide learner licence training.,8.0,6.0,1,100%,100%,100%,Level 1,Rural,0%,Zainab Cele,zainabcele@gmail.com,+27783590669
2025-08-03 01:13:52,Zainab Ngcobo,Pioneer Group Pty Ltd,,Financial Services,Limpopo,"638 Main Drive, Welkom ",2970000________,Welkom ,Working Capital,Stock purchase and general operational funding ,R1 000 001 to R5M,R1 000 001 to R5M,3711030________,Catering and events business servicing corporate functions.,9.0,2.0,2,100%,100%,100%,Level 1,Rural,0%,Zainab Ngcobo,zainabngcobo@gmail.com,084 092 5910
2025-07-11 13:50:36,Amahle Shabalala,Greenfield Agri CC,,Engineering & Construction,Western Cape,"365 Pretorius Road, Klerksdorp",1060000________,Klerksdorp,,"Raw materials, tooling and factory rental for the next 12 months",0 to R500K,0 to R500K,29929__________,,,1.0,3,0%,0%,100%,Level 8,Rural,0%,amahle shabalala,amahleshabalala@gmail.com,+27 74 626 8316
2025-07-10 11:12:17,Suzette Nel,Umlambo Services (Pty) Ltd,2011/218134/07 ,Hospitality,Western Cape,"3087 Acacia Lane, Newcastle ",10000__________,Newcastle ,Working Capital,Bridging finance while awaiting payment from government contracts,0 to R500K,0 to R500K,3303___________,We run a driving school and provide learner licence training.,6.0,1.0,6,100%,0%,75–99%,Level 4,Township,0%,Suzette Nel,suzettenel849@yahoo.com,+27892170783
2025-07-20 08:36:40,Sipho Davids,Vertex Trading (Pty) Ltd,2013/773342/07,Transportation and Logistics,Gauteng,"19 Umgeni Road, Benoni",31590000_______,Benoni ,Working Capital,Operational funding ,0 to R500K,R501K to R1M,737044_________,We run a driving school and provide learner licence training.,27.0,3.0,4,0%,0%,100%,Level 1,Urban,0%,Sipho Davids,siphodavids@gmail.com,0724294175
2025-07-11 22:42:29,Nosipho Ntuli ,Ntuli Engineering Group ,2012/994050/07,Engineering & Construction,Western Cape,"1146 Aloe Lane, Roodepoort",9780000________,Roodepoort ,Debt & Equity,Operational funding ,0 to R500K,R1 000 001 to R5M,1955534________,We recycle plastic waste and sell processed pellets to manufacturers.,23.0,1.0,3,100%,100%,0%,Level 1,Urban,0%,nosipho ntuli,nosiphontuli@outlook.com,0722572430
2025-09-14 20:42:13,Suzette Nel,Apex Trading,2012/928627/07,Manufacturing,Western Cape,"3115 Kingfisher Drive, Worcester ",71140000_______,Worcester,Purchase Order Funding;Working Capital,Purchase of a delivery vehicle and cold storage unit,R20 000 001 to R50M,R20 000 001 to R50M,23713627_______,Logistics company transporting goods between major metros. ,61.0,,10,100%,50–74%,100%,Level 2,Rural,0%,Suzette Nel,suzettenel@webmail.co.za,0630990542
2025-08-26 21:30:51,Sipho Zulu,Zulu Projects (Pty) Ltd ,2013/190941/07,Information & Communication Technology,Gauteng,"2258 Tambo Avenue, port elizabeth",250000_________,port elizabeth,Working Capital,Working capital to fulfil confirmed purchase orders,0 to R500K,0 to R500K,457____________,We recycle plastic waste and sell processed pellets to manufacturers.,2.0,9.0,2,0%,50–74%,100%,Level 1,Rural,0%,Sipho Zulu,siphozulu@gmail.com,0757682143
2025-08-26 20:31:03,Karin Govender,KOPANO ENGINEERING CC ,2011/218050/07,Business Services (Agency & Consultancy),North West,"688 Rissik Way, Pietermaritzburg",810000_________,Pietermaritzburg,Working Capital,"Marketing, customer acquisition and website development ",0 to R500K,0 to R500K,203611_________,A tourism operator offering guided township and heritage tours,2.0,6.0,2,0%,100%,1–24%,Level 1,Urban,0%,karin govender,karingovender@webmail.co.za,+27 89 360 6883
2025-07-07 03:55:03,Ntando Mokoena,Mokoena Transport Group,,Information & Communication Technology,Gauteng,"1273 Commissioner Drive, George",20000__________,George,Working Capital,Stock purchase and general operational funding ,0 to R500K,0 to R500K,26137__________,A family-run bakery supplying schools and local retailers. ,0.0,1.0,1,100%,0%,100%,Level 1,Rural,0%,Ntando Mokoena,ntandomokoena559@yahoo.com,+27 63 738 8005
2025-09-16 07:25:51,Pieter Ntuli ,Ntuli Projects (Pty) Ltd ,2012/367295/07,Engineering & Construction,Western Cape,"2653 Mandela Crescent, Ladysmith ",50000__________,Ladysmith,Equity,Stock purchase and general operational funding ,0 to R500K,0 to R500K,16479__________,We supply and install security systems and CCTV. ,0.78,,3,0%,100%,50–74%,Level 3,Urban,0%,pieter ntuli,pieterntuli@outlook.com,+27635759421
2025-09-14 13:40:02,Kavitha Rakoma,Rakoma Projects,201834295707,Transportation and Logistics,Gauteng,"386 Buitenkant Lane, Springs ",1160000________,Springs,Working Capital,Bridging finance while awaiting payment from government contracts,R501K to R1M,R501K to R1M,966763_________,We provide ICT support and cloud services to small businesses in the province.,6.0,13.0,3,75–99%,0%,0%,Level 1,Urban,0%,kavitha rakoma,kavitharakoma@webmail.co.za,+27669320602
2025-06-30 09:37:56,Yolandi Solomons ,SOLOMONS TECHNOLOGIES,2011/753041/07,Agriculture - Primary ,Western Cape,"72 Commissioner Road, Rustenburg",6780000________,Rustenburg ,,"Purchase of farming implements, seed and irrigation infrastructure",R1 000 001 to R5M,R5 000 001 to R10M,6782310________,We design and sew corporate uniforms and protective clothing.,13.0,3.0,1,0%,50–74%,100%,Level 1,Township,0%,Yolandi Solomons,yolandisolomons@gmail.com,+27838025244
2025-08-23 18:34:50,Annelie Zulu,Clear Water Trading (Pty) Ltd,2024 / 833761 / 07 ,Agriculture - Secondary ,Limpopo,"751 Aloe Street, Welkom",2350000________,Welkom,Working Capital,"Purchase of farming implements, seed and irrigation infrastructure",R501K to R1M,R1 000 001 to R5M,1567330________,Commercial cleaning and hygiene services for offices and factories ,12.0,3.0,4,1–24%,100%,100%,Level 1,Township,0%,annelie zulu,anneliezulu@icloud.com,+27743252949
2025-07-05 00:52:10,Faried Isaacs,Isaacs Logistics CC ,2010/367168/07,Engineering & Construction,Gauteng,"2369 Biko Lane, Kimberley",10000__________,Kimberley,Purchase Order Funding,"Purchase of farming implements, seed and irrigation infrastructure",0 to R500K,0 to R500K,1264___________,A tourism operator offering guided township and heritage tours,4.0,3.0,1,100%,100%,100%,Level 1,Urban,0%,Faried Isaacs,fariedisaacs@yahoo.com,+27678914192
2025-07-11 08:19:02,Marlize Tshabalala,Tshabalala Agri,,,Gauteng,"1543 Commissioner Way, Witbank ",130000,Witbank,,Expansion into a second branch and hiring of staff ,0 to R500K,R501K to R1M,436970_________,,,,4,100%,50–74%,100%,Level 7,Urban,0%,Marlize Tshabalala,marlizetshabalala@outlook.com,+27831905679
2025-09-04 11:59:14,Thandeka Moodley ,Moodley Transport ,2022/490855/07,Tourism,Gauteng,"1878 Umgeni Crescent, Mahikeng",160_80000______,Mahikeng,Working Capital,To upgrade our machinery and improve turnaround times.,0 to R500K,R1 000 001 to R5M,2679694________,Independent pharmacy and primary healthcare clinic serving a rural community,2.0,3.0,1,100%,0%,100%,Level 1,Township,0%,Thandeka Moodley,thandekamoodley965@gmail.com,+27869319428
2025-08-08 10:24:18,Willem Mabaso,Mabaso Consulting Pty Ltd ,2023 / 430516 / 07,Manufacturing,Limpopo,"1769 Voortrekker Road, WITBANK ",630000_________,WITBANK,,"Marketing, customer acquisition and website development ",0 to R500K,0 to R500K,104505_________,,,2.0,6,100%,100%,100%,Level 1,Urban,0%,Willem Mabaso,WILLEMMABASO617@OUTLOOK.COM,+27789257035
2025-06-27 17:43:17,Suzette Mabena ,Vuka Solutions (Pty) Ltd,,Agriculture - Primary ,North West,"2808 Commissioner Way, Rustenburg ",4760000________,Rustenburg ,,To grow the business ,0 to R500K,0 to R500K,125047_________,,2.0,2.0,6,100%,0%,1–24%,Level 8,Township,0%,Suzette Mabena,suzettemabena@mweb.co.za,+27626349724
2025-07-17 08:13:46,Francois Zwane,Vuka Investments (Pty) Ltd,2009/815043/07,Waste Management,Eastern Cape,"1304 Main Way, George",2720000________,George,Debt & Equity,Purchase of a delivery vehicle and cold storage unit,R1 000 001 to R5M,R5 000 001 to R10M,5430563________,Logistics company transporting goods between major metros. ,28.0,1.0,10,0%,0%,100%,Level 1,Urban,0%,Francois Zwane,francoiszwane@outlook.com,086 676 0537
2025-08-23 21:34:39,Vikash Ramaphakela,Ramaphakela Services,2024/910016/07,Retail & Wholesale,Gauteng,"398 Marula Avenue, SOWETO",5660000________,SOWETO,Purchase Order Funding;Working Capital,To upgrade our machinery and improve turnaround times.,R10 000 001 to R20M,R10 000 001 to R20M,7069415________,We manufacture and supply steel components to construction contractors.,3.0,44.0,1,100%,100%,100%,Level 2,Urban,1–24%,vikash ramaphakela,vikashramaphakela@gmail.com,+27863224531
2025-08-19 16:25:43,Chantelle Isaacs,Sunrise Services ,2022/202081/07,Agriculture - Primary ,Gauteng,"505 Long Road, Nelspruit ",330000_________,Nelspruit,Debt & Equity,"Use of Funds
1.	Equipment purchase
2.	Staff expansion
3.	Marketing
",0 to R500K,0 to R500K,277249_________,,1.0,0.32,3,100%,100%,75–99%,Level 2,Township,0%,Chantelle Isaacs,chantelleisaacs@mweb.co.za,0854815538
2025-09-24 07:58:30,Thandeka Ngcobo,Ikhaya Construction (Pty) Ltd,2016/728354/07 ,Transportation and Logistics,Gauteng,"2300 Aloe Drive, Ladysmith ",8400000________,Ladysmith,Debt & Equity;Invoice Financing,To grow the business ,0 to R500K,R501K to R1M,761310_________,Commercial cleaning and hygiene services for offices and factories ,9.0,3.0,3,0%,0%,100%,Level 1,Township,0%,Thandeka Ngcobo,thandekangcobo@yahoo.com,+27 73 118 1505
2025-07-30 16:08:24,Johan Du,Apex Holdings (Pty) Ltd,2022/352712/07,Transportation and Logistics,Gauteng,"1923 Sisulu Drive, Randburg",41500000_______,Randburg ,Working Capital,Expansion into a second branch and hiring of staff ,R10 000 001 to R20M,R20 000 001 to R50M,16601065_______,Logistics company transporting goods between major metros. ,24.0,4.0,5,0%,50–74%,100%,Level 1,Rural,0%,Johan Du,JOHANDU@GMAIL.COM,+27792745800
2025-07-28 14:12:03,Khanyisile Maluleke,Maluleke Agri Group,2008/339969/07,Mining,Limpopo,"374 Church Avenue, Emalahleni",313830000______,Emalahleni,Other (Please specify),To increase production and take on larger supply contracts ,Above R50M,Above R50M,45795063_______,We grow and pack vegetables for regional wholesalers and retailers.,107.0,25.0,1,100%,100%,100%,Level 1,Township,0%,Khanyisile Maluleke,khanyisilemaluleke@outlook.com,+27 65 234 0057
2025-07-11 16:08:32,Nadia Motaung ,Apex Holdings ,2011/617344/07,Manufacturing,Western Cape,"2100 Acacia Road, centurion",250000_________,centurion,Equity,"Use of Funds
1.	Equipment purchase
2.	Staff expansion
3.	Marketing
",0 to R500K,0 to R500K,65_____________,We run a driving school and provide learner licence training.,1.0,5.0,1,50–74%,0%,100%,Level 1,Rural,0%,Nadia Motaung,nadiamotaung@gmail.com,+27671399291
2025-09-23 18:01:36,Christo Zwane,Summit Solutions Pty Ltd,2022/605016/07,Entertainment and Media,Mpumalanga,"1741 Jakaranda Street, Thohoyandou",2270000________,Thohoyandou,Working Capital,"Raw materials, tooling and factory rental for the next 12 months",0 to R500K,R1 000 001 to R5M,906205_________,Civil engineering contractor focused on roads and stormwater projects ,20.0,8.0,2,100%,100%,0%,Level 1,Urban,0%,christo zwane,christozwane986@yahoo.com,+27 78 686 7856
2025-08-06 19:18:16,Tshepo Pillay,Pillay Holdings (Pty) Ltd ,2008/513398/07,,Western Cape,"444 Aloe Street, Pietermaritzburg",8030000________,Pietermaritzburg,,"Marketing, customer acquisition and website development ",0 to R500K,0 to R500K,252825_________,A family-run bakery supplying schools and local retailers. ,,2.0,100%,50–74%,100%,100%,Level 1,Township,0%,Tshepo Pillay,tshepopillay@yahoo.com,+27836244082
2025-08-23 03:15:05,Lwazi Abrahams,Abrahams Construction ,2023/693160/07,Automotive,Gauteng,"1892 Commissioner Road, WORCESTER",30000__________,WORCESTER,Purchase Order Funding;Working Capital,To upgrade our machinery and improve turnaround times.,0 to R500K,0 to R500K,52068__________,Commercial cleaning and hygiene services for offices and factories ,2.0,,2,0%,100%,100%,Level 2,Urban,0%,Lwazi Abrahams,lwaziabrahams@gmail.com,+27838483139
2025-09-03 04:01:41,Riyaad Wyk,Wyk Engineering Pty Ltd,2012/314829/07,Hospitality,Limpopo,"1098 Kingfisher Road, Mthatha",40000__________,Mthatha,Purchase Order Funding;Working Capital,To buy additional equipment and expand production capacity,0 to R500K,0 to R500K,7499___________,We run a driving school and provide learner licence training.,0.0,0.0,1,100%,0%,100%,Level 3,Urban,0%,riyaad wyk,riyaadwyk@gmail.com,074 889 9057
2025-07-13 12:49:09,Pieter Baloyi,Thuso Logistics (Pty) Ltd,2025/954521/07,Information & Communication Technology,Western Cape,"852 Loop Road, Centurion",9430000________,Centurion,Working Capital,To upgrade our machinery and improve turnaround times.,R5 000 001 to R10M,R5 000 001 to R10M,6287718________,Commercial cleaning and hygiene services for offices and factories ,15.0,5.0,5,25–49%,100%,100%,Level 1,Township,0%,pieter baloyi,pieterbaloyi@outlook.com,+27 77 675 3151
2025-08-30 06:10:59,Vusi Zwane,Copper Leaf Consulting ,,Tourism,Limpopo,"2894 Kingfisher Drive, UPINGTON",9620000________,,Working Capital,"Funding is required for equipment, training and certification.",0 to R500K,0 to R500K,249897_________,We supply and install security systems and CCTV. ,3.0,0.85,1,100%,100%,100%,Level 2,Township,0%,Vusi Zwane,vusizwane132@icloud.com,+27778990941
2025-07-30 08:46:41,Ashwin Venter,Venter Consulting Group,2025 / 131448 / 07,Mining,Western Cape,"1410 Marula Avenue, Mahikeng ",1920000________,Mahikeng,Debt & Equity;Working Capital,"Purchase of farming implements, seed and irrigation infrastructure",R501K to R1M,R501K to R1M,638880_________,We provide ICT support and cloud services to small businesses in the province.,5.0,9.0,1,0%,0%,100%,Level 1,Rural,0%,Ashwin Venter,ashwinventer@gmail.com,+27835629689
2025-08-27 05:38:20,Pieter Baloyi,Baloyi Construction,2009/335392/07,Financial Services,Western Cape,"1549 Kruger Crescent, Richards Bay",2560000________,Richards Bay ,Other (Please specify),Bridging finance while awaiting payment from government contracts,0 to R500K,R501K to R1M,511905_________,A tourism operator offering guided township and heritage tours,3.0,5.0,6,100%,0%,100%,Level 1,Rural,0%,Pieter Baloyi,pieterbaloyi544@icloud.com,+27 79 724 2280
2025-07-26 15:40:50,Mxolisi Ngcobo,Stone Bridge Group Pty Ltd,Stone Bridge Group Pty Ltd,Manufacturing,Western Cape,"819 Rivonia Lane, George",10000__________,George,Working Capital,Bridging finance while awaiting payment from government contracts,0 to R500K,0 to R500K,19143__________,Independent pharmacy and primary healthcare clinic serving a rural community,0.0,4.0,3,25–49%,0%,100%,Level 1,Urban,0%,mxolisi ngcobo,MXOLISINGCOBO498@GMAIL.COM,+27 64 211 4806
